"","Estimate","Std..Error","t.value","Pr...t..","variables_name"
"(Intercept)",37.8237181720534,0.924230488601768,40.9245514387601,1.789220777259e-158,"(Intercept)"
"ridership",8.04409579220402e-05,1.5866595277764e-05,5.06983108309145,5.69958953814635e-07,"ridership"
"avg_interval_speed_mph",-0.142585427866842,0.0412158232910614,-3.4594827054629,0.00058956329920856,"avg_interval_speed_mph"
"avg_hour_speed_mph",0.51973012223139,0.0752786224005106,6.90408652095452,1.61115589482538e-11,"avg_hour_speed_mph"
"speed_bin_1_time_hr_accel_bin_2_time_hr",-0.00214419429781918,0.00260311419145733,-0.823703510532041,0.410517971148034,"speed_bin_1_time_hr_accel_bin_2_time_hr"
"speed_bin_6_time_hr_accel_bin_8_time_hr",0.00628499627292937,0.175927895242419,0.0357248420682176,0.971516644655793,"speed_bin_6_time_hr_accel_bin_8_time_hr"
"speed_bin_7_time_hr_accel_bin_8_time_hr",0.697696821396332,0.397232802299378,1.75639276856725,0.079660358311008,"speed_bin_7_time_hr_accel_bin_8_time_hr"
"accel_bin_8_time_hr",-5.94840248003773,2.56347775810787,-2.32044239948011,0.0207361404254927,"accel_bin_8_time_hr"
"speed_bin_1_time_hr_accel_bin_6_time_hr",-0.0196721796409797,0.0082907145744796,-2.37279663462718,0.0180478507793497,"speed_bin_1_time_hr_accel_bin_6_time_hr"
"speed_bin_3_time_hr_accel_bin_8_time_hr",-0.164729485505084,0.075126282507009,-2.19270114276871,0.0288091483338182,"speed_bin_3_time_hr_accel_bin_8_time_hr"
"speed_bin_4_time_hr_accel_bin_8_time_hr",-0.223089380199738,0.328227390799389,-0.679679351733596,0.497035837036447,"speed_bin_4_time_hr_accel_bin_8_time_hr"
"speed_bin_1_time_hr_accel_bin_3_time_hr",0.00221882192124643,0.00240107159964344,0.924096524891606,0.355901340823981,"speed_bin_1_time_hr_accel_bin_3_time_hr"
"speed_bin_1_time_hr_accel_bin_5_time_hr",-0.0003618776230258,0.000271586714636984,-1.33245701473102,0.183343582870252,"speed_bin_1_time_hr_accel_bin_5_time_hr"
"speed_bin_5_time_hr_accel_bin_4_time_hr",-0.00880332033412848,0.00787225580112904,-1.11827163096833,0.264011513698992,"speed_bin_5_time_hr_accel_bin_4_time_hr"
"speed_bin_2_time_hr_accel_bin_3_time_hr",-0.019687125758287,0.011490823571144,-1.71329110018935,0.0873060413568216,"speed_bin_2_time_hr_accel_bin_3_time_hr"
"speed_bin_7_time_hr_accel_bin_3_time_hr",-0.0928701684672753,0.0517372366560499,-1.79503534532928,0.073278365598102,"speed_bin_7_time_hr_accel_bin_3_time_hr"
"speed_bin_5_time_hr_accel_bin_1_time_hr",0.0305089406057448,0.400813960727737,0.0761174599566125,0.939357430260365,"speed_bin_5_time_hr_accel_bin_1_time_hr"
"speed_bin_8_time_hr_accel_bin_4_time_hr",0.0321032312912966,0.00936625940808392,3.42754026902017,0.000661580411749612,"speed_bin_8_time_hr_accel_bin_4_time_hr"
"speed_bin_8_time_hr",-0.326316829030224,1.21261335129052,-0.269102124500725,0.787966968015208,"speed_bin_8_time_hr"
"speed_bin_8_time_hr_accel_bin_1_time_hr",-0.442449439599077,0.562165341067805,-0.787045033332483,0.431644738611747,"speed_bin_8_time_hr_accel_bin_1_time_hr"
"speed_bin_2_time_hr_accel_bin_1_time_hr",0.0483812891301235,0.0538718389591796,0.898081262211664,0.369593418974238,"speed_bin_2_time_hr_accel_bin_1_time_hr"
"speed_bin_2_time_hr_accel_bin_6_time_hr",0.0262954825743107,0.0375725676594625,0.699858546071135,0.484355392217491,"speed_bin_2_time_hr_accel_bin_6_time_hr"
"speed_bin_5_time_hr",-0.333896890207718,0.842879912412351,-0.396138151224999,0.692179512095216,"speed_bin_5_time_hr"
"accel_bin_7_time_hr",-0.154256848646348,0.611598895923187,-0.252218978279061,0.800979996283524,"accel_bin_7_time_hr"
"accel_bin_1_time_hr",2.35419928608877,1.07556801760575,2.18879628954504,0.0290937048823126,"accel_bin_1_time_hr"
"speed_bin_1_time_hr",0.119629199505326,0.0546075109444514,2.19070961917705,0.0289539739267229,"speed_bin_1_time_hr"
"distance_mile",0.00354270045395791,0.00792646856484205,0.446945625908567,0.655116334115886,"distance_mile"
"speed_bin_4_time_hr_accel_bin_6_time_hr",0.0825429280820992,0.0961793114116771,0.858219162422467,0.391200684547044,"speed_bin_4_time_hr_accel_bin_6_time_hr"
"speed_bin_3_time_hr_accel_bin_5_time_hr",0.010819292048513,0.00433325174261955,2.49680671494347,0.0128665249893443,"speed_bin_3_time_hr_accel_bin_5_time_hr"
"speed_bin_5_time_hr_accel_bin_6_time_hr",0.129984770031201,0.15694091561823,0.828240166174373,0.407946976428525,"speed_bin_5_time_hr_accel_bin_6_time_hr"
"speed_bin_8_time_hr_accel_bin_6_time_hr",0.0901095504370756,0.209649062247671,0.429811368918138,0.667526146620253,"speed_bin_8_time_hr_accel_bin_6_time_hr"
"accel_bin_4_time_hr",-0.0362100288191438,0.0575096683829098,-0.629633761371233,0.529234428269405,"accel_bin_4_time_hr"
"accel_bin_3_time_hr",1.13925423647133,0.279417517111852,4.07724701102145,5.33560580101028e-05,"accel_bin_3_time_hr"
"accel_bin_6_time_hr",-0.638566654652114,0.759071982691995,-0.841246507857506,0.400629615040364,"accel_bin_6_time_hr"
"weekend1",1.18230363640531,0.273580937047919,4.32158632528633,1.88493170010578e-05,"weekend1"
"TAVG",-0.127986274309552,0.0129321610513093,-9.89674299614403,3.89835030029477e-21,"TAVG"
