,"[0,3.8)","[3.8,11.0)","[11.0, 15.5)","[15.5,22.6)","[22.6,30.1)","[30.1,104.0)",,,,,-0.368,-2.254,40.062,-4.078,-0.00208,0
"[-5.0,-0.4)",-0.4,-0.2,0.6,-0.2,-0.8,,,,,,0.199,0.942,12.732,0,0.95,0
"[-0.4,-0.1)",0.1,0.1,1.2,,1,,,,,,0,0.0471,0.6021,0,1.152,0
"[-0.1,0)",,0.03,0.3,0.5,0.6,-1.8,,,,,0,0.0258,0,-0.2792,-0.936,0.738
"[0,0.1)",,0.02,,-0.08,-0.3,0.9,,,,,0,0.492,-0.777,-0.26,2.0301,1.47752
"[0.1,0.7)",,0.6,-0.7,-0.2,1.01,1.012,,,,,0,0,1.19298,0,-4.431,1.295
"[0.7,5.0]",,,2.022,,-2.1,0.5,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,0.92,11.27,66.77,20.39,0.0026,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,1.99,9.42,10.61,,0.95,,,,,,,,,,,
,,1.57,2.007,,1.92,,,,,,,,,,,
,,1.29,,3.49,3.12,0.82,,,,,,,,,,
,,0.82,1.11,1.3,2.01,1.46,,,,,,,,,,
,,,0.59,,2.11,2.59,,,0.92,,,,,,-0.37,
,,,,,,,,,11.27,-0.37,,,,,-2.25,
,,,,,,,,,66.77,-2.25,,,,,40.06,
,,,,,,,,,20.39,40.06,,,,,-4.08,
,,,,,,,,,0.0026,-4.08,,,,,0.00,
,,-0.368,,2.106346667,,-0.4,0.6,,1.99,0.00,,,,,0.20,
,,0.199,,,,-0.2,-0.7,,9.42,-0.37,,55.3,,,0.94,
,,-2.254,,,,0.6,-0.2,,10.61,-2.25,,51,,,12.73,
,,0.942,,,,-0.2,1.01,,0.95,40.06,,45.3,,,0.95,
,,0.0471,,,,-0.8,1.012,,1.57,-4.08,,43.2,,,0.05,
,,0.0258,,,,,,,2.007,0.00,,42.5,,,0.60,
,,0.492,,,,,,,1.92,,,44.5,,,1.15,
,,40.062,,,,0.1,,,1.29,0.20,,45,,,0.03,
,,12.732,,,,0.1,,,3.49,0.94,,43.7,,,-0.28,
,,0.6021,,,,1.2,,,3.12,12.73,,42.8,,,-0.94,
,,-0.777,,,,0.1,,,0.82,0.20,,46.6,,,0.74,
,,1.19298,,,,0.1,,,0.82,0.94,,53,,,0.49,
,,-4.078,,,,1.2,,,1.11,12.73,,,,,-0.78,
,,-0.2792,,,,,,,1.3,,,,,,-0.26,
,,-0.26,,,,0.03,,,2.01,,,,,,2.03,
,,-0.00208,,,,0.3,,,1.46,,,,,,1.48,
,,0.95,,,,0.5,,,0.59,,,,,,1.19,
,,1.152,,,,0.6,,,2.11,,,,,,-4.43,
,,-0.936,,,,-1.8,,,2.59,,,,,,1.30,
,,2.0301,,,,,,,,,,,,,,
,,-4.431,,,,,,,,,,,,,,
,,0.738,,,,-0.08,,,,,,,,,,
,,1.47752,,,,-0.3,,,,,,,,,,
,,1.295,,,,0.9,,,,,,,,,,
